Number of employees,Is your employer a tech company?,Does your medical coverage include treatment of mental health?,Do you currently have a mental health disorder?,Do you know the options for mental health care available under your employer-provided health coverage?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,What is your age?,What is your gender?,What country do you work in?,What is your race?,Is your primary role within your company related to tech/IT?,Do you believe your productivity is ever affected by a mental health issue?,How well do you think the tech industry supports employees with mental health issues?,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,Other
More than 1000,Yes,No,Possibly,Yes,No,Yes,Yes,57.0,Female,Canada,No Answer,No,No,2.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,29.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
6-25,No,No,No,Yes,No,No,Yes,46.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,No,No,34.0,Male,Norway,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,Yes,29.0,Male,United States of America,White,Yes,No,4.0,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
100-500,Yes,No,No,Yes,No,Don't Know,No,55.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Don't Know,No,29.0,Other,Finland,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,No,Yes,Yes,I don't know,35.0,Male,Poland,No Answer,Yes,No,4.0,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
More than 1000,Yes,No,Possibly,No,No,Yes,Yes,33.0,Male,Russia,No Answer,Yes,No,1.0,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No
More than 1000,No,No,Don't Know,No,No,Don't Know,No,37.0,Male,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Possibly,Yes,45.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
